realtime,framenum,rendertime(ms),fps,GPUUtil(%)
27.579297,1636,3.8554,29.987723,40
27.595917,1637,5.0396,29.989797,40
27.612808,1638,5.2889,29.977873,40
27.628814,1639,6.7564,29.996631,40
27.645085,1640,15.3741,30.014026,40
27.66303,1641,5.6905,29.977235,40
27.678988,1642,4.5879,29.980636,40
27.696134,1643,8.7928,29.981313,40
27.71199,1644,4.9514,30.00087,40
27.729315,1645,5.1122,29.964298,40
27.744994,1646,4.7416,30.014482,40
27.762325,1647,4.9285,29.986443,41
27.779303,1648,5.329,29.986827,41
27.795623,1649,7.8373,29.971656,41
27.812696,1650,8.2736,29.999184,41
27.829041,1651,15.8169,29.998914,41
27.845899,1652,4.9075,30.001269,41
27.861864,1653,5.858,30.017617,41
27.878961,1654,4.8154,30.005911,41
27.89506,1655,4.8148,30.019281,41
27.912596,1656,8.1077,29.995867,41
27.928957,1657,6.9372,29.994541,41
27.946458,1658,8.8957,29.976855,40
27.963918,1659,4.6702,29.977604,40
27.979595,1660,3.3025,29.974878,40
27.995502,1661,5.0808,30.018597,40
28.012655,1662,5.0836,29.996427,40
28.028636,1663,6.5546,30.001557,40
28.045538,1664,7.7387,30.008718,40
28.06225,1665,7.8572,30.009,40
28.07982,1666,8.3432,29.975576,40
28.095302,1667,6.7953,30.010984,40
28.113028,1668,8.7746,29.98104,40
28.130419,1669,8.6236,29.961081,40
28.145967,1670,4.1663,29.98835,41
28.164129,1671,5.6111,29.958355,41
28.179979,1672,4.6017,29.992622,41
28.196103,1673,7.2232,29.993075,41
28.213172,1674,8.2684,29.969162,41
28.229846,1675,7.421,29.975459,41
28.246349,1676,7.1555,29.981031,41
28.26354,1677,7.3302,29.973015,41
28.280151,1678,3.8521,29.95458,41
28.29514,1679,6.3726,30.016071,41
28.312348,1680,7.7328,29.993006,41
28.329402,1681,8.2673,29.979374,41
28.345957,1682,8.1969,29.989726,41
28.365206,1683,4.6711,29.919722,41
28.378991,1684,5.4505,29.992655,41
28.396012,1685,6.9299,29.971341,41
28.412977,1686,5.3352,29.991824,41
28.429577,1687,5.3452,29.9777,41
