Black Myth:Wukong,Final Fantasy XVI,RDR2,frametime1
9.240955,6.93,5.59,16.66666667
8.888141667,6.73,5.55,16.66666667
8.791936667,7.03,5.9,16.66666667
8.624293333,6.62,5.66,16.66666667
9.352581667,6.89,5.65,16.66666667
9.545703333,6.74,5.77,16.66666667
9.78819,6.76,5.85,16.66666667
9.504223333,6.67,5.75,16.66666667
9.805056667,7.02,6.21,16.66666667
9.551978333,6.89,5.89,16.66666667
9.617736667,7.01,5.82,16.66666667
9.614026667,6.68,5.87,16.66666667
9.028005,7.26,5.62,16.66666667
9.021736667,6.8,5.79,16.66666667
8.913795,7.35,5.73,16.66666667
9.210586667,6.6,5.6,16.66666667
9.146018333,7.09,5.82,16.66666667
8.60531,7.3,5.92,16.66666667
8.407978333,7.32,5.64,16.66666667
8.710546667,7.53,5.74,16.66666667
8.629103333,7.55,5.78,16.66666667
8.963371667,7.2,5.76,16.66666667
9.636376667,7.41,5.76,16.66666667
9.294511667,6.76,6.02,16.66666667
8.662995,6.75,6.47,16.66666667
8.393193333,6.55,6.16,16.66666667
8.689145,7.11,6.25,16.66666667
8.88023,6.95,5.42,16.66666667
9.540003333,6.91,4.21,16.66666667
9.751778333,6.44,6.71,16.66666667
9.175978333,6.74,7.17,16.66666667
8.229266667,7.22,5.86,16.66666667
8.060625,6.82,6.37,16.66666667
7.967846667,6.54,6.38,16.66666667
8.6007,7.07,6.53,16.66666667
7.569823333,7.25,6.19,16.66666667
6.840511667,6.57,6.25,16.66666667
7.141188333,6.79,6.33,16.66666667
7.09547,6.78,6.39,16.66666667
7.697693333,6.78,6.15,16.66666667
7.76616,6.73,6.11,16.66666667
8.290538333,6.98,6.05,16.66666667
8.689095,7.39,6.08,16.66666667
8.20414,6.78,6.22,16.66666667
8.740815,6.84,6.12,16.66666667
